,Global_reactive_power,Voltage,Global_intensity,date,month,hour,Minutes,total_metering
1032508,0.128,242.58,7.6,12,2,17,52,0.0
1794736,0.19,241.51,7.2,16,5,1,40,2.0
590021,0.054,239.15,7.2,30,1,11,5,17.0
1946737,0.308,239.54,6.8,29,8,15,1,19.0
691314,0.0,239.24,5.6,4,9,19,18,19.0
1397687,0.1,240.81052229987583,2.8,13,8,8,11,1.0
1452311,0.236,242.88,1.8,20,9,6,35,1.0
1979548,0.178,237.8,6.0,21,9,9,52,19.0
829364,0.186,240.49,1.4,14,7,16,8,0.0
425450,0.1,239.58,1.4,10,8,4,14,0.0
1296834,0.056,237.84,5.8,6,4,7,18,18.0
1090787,0.194,248.60500000000005,1.6,1,12,5,11,1.0
189576,0.22,234.63,1.8,27,4,9,0,1.0
350190,0.112,242.06,0.8,16,8,21,54,0.0
1850059,0.184,237.03,5.6,23,6,11,43,19.0
1343167,0.136,243.8,1.0,7,6,11,31,1.0
1225000,0.13,240.7,1.8,15,4,10,4,1.0
929329,0.116,241.17,1.2,22,9,2,13,0.0
557003,0.0,240.79,5.2,1,7,12,47,17.0
1346185,0.132,242.84,1.4,7,8,13,49,0.0
1087184,0.048,243.29,2.0,1,9,17,8,0.0
717439,0.118,242.94,1.4,27,4,22,43,1.0
309755,0.078,234.08,5.0,19,7,19,59,18.0
1712371,0.0,240.4,7.0,19,3,20,55,1.0
1588480,0.19,247.69,4.2,23,12,20,4,2.0
1999064,0.0,242.24,1.8,10,4,23,8,1.0
729879,0.116,238.06,1.4,5,6,14,3,1.0
1050159,0.0,247.54,1.2,15,12,0,3,0.0
73710,0.12,243.26,4.4,2,5,21,54,0.0
550361,0.0,237.48,7.8,1,2,22,5,0.0
415915,0.082,240.31,1.4,10,1,13,19,0.0
956615,0.11,240.72,1.8,10,11,0,59,2.0
501073,0.078,246.78,1.2,29,11,16,37,0.0
2028942,0.208,243.99,1.8,25,10,17,6,1.0
436742,0.058,240.27,1.2,16,10,0,26,0.0
968777,0.0,240.11,1.2,19,10,11,41,1.0
1622909,0.0,240.44,1.6,16,1,17,53,0.0
1173922,0.0,242.66,7.2,3,10,22,46,0.0
557559,0.306,239.35,7.6,1,7,22,3,2.0
587960,0.054,242.39,4.2,29,1,0,44,0.0
1897886,0.112,240.52,1.2,26,7,16,50,0.0
2034281,0.298,248.23,4.8,29,10,10,5,11.0
1770927,0.0,243.11,1.0,29,4,12,51,1.0
1249332,0.084,237.87,6.0,5,2,7,36,18.0
1747872,0.0,243.9,5.4,13,4,12,36,19.0
361749,0.228,241.52,5.8,24,8,22,33,0.0
844625,0.202,239.3,6.0,25,7,6,29,18.0
1950536,0.236,241.87,2.0,9,1,6,20,2.0
1791141,0.054,242.22,5.8,13,5,13,45,19.0
1433718,0.08,241.84,5.2,9,7,8,42,19.0
337445,0.0,233.20499999999996,4.6,8,8,1,29,17.0
150159,0.14,242.64,1.8,31,3,0,3,1.0
1343510,0.098,240.95,0.8,7,6,17,14,1.0
699784,0.376,243.1,2.6,15,4,16,28,2.0
1595245,0.128,245.39,6.0,28,12,12,49,19.0
1369508,0.142,242.81,1.0,24,7,18,32,1.0
1555599,0.136,244.52,1.8,12,1,0,3,1.0
836870,0.218,241.78,1.6,19,7,21,14,3.0
606665,0.0,244.03,1.0,2,11,0,29,0.0
1942620,0.0,241.34,5.4,26,8,18,24,19.0
1844838,0.362,242.88,5.4,19,6,20,42,0.0
1302044,0.0,237.03,1.4,6,7,22,8,1.0
789368,0.13,238.57,11.4,16,6,21,32,19.0
1858916,0.116,241.81,1.2,29,6,15,20,1.0
837632,0.082,240.92,2.0,20,7,9,56,3.0
1467674,0.092,239.91,11.2,30,9,22,38,19.0
1558304,0.0,241.51,5.2,12,2,21,8,1.0
21785,0.0,236.25,10.0,31,12,20,29,0.0
407076,0.062,234.92,7.6,25,9,10,0,18.0
1137386,0.08,239.42,5.6,13,2,13,50,20.0
29288,0.0,241.12,1.0,1,6,1,32,0.0
173174,0.15,244.66,1.8,15,4,23,38,0.0
1249769,0.0,242.54,4.6,5,2,14,53,1.0
1069673,0.0,243.93,6.6,28,12,13,17,19.0
1431898,0.098,239.08,5.2,9,6,2,22,18.0
149999,0.0,233.20499999999996,9.6,30,3,21,23,18.0
1969301,0.066,240.59,6.4,14,9,7,5,19.0
1713674,0.1,240.81052229987583,2.8,20,3,18,38,1.0
7580,0.0,246.89,0.8,21,12,23,44,0.0
1111646,0.09,245.62,3.0,26,1,16,50,0.0
1352875,0.122,242.42,1.0,13,7,5,19,2.0
717852,0.078,239.68,1.4,28,4,5,36,0.0
436268,0.226,239.9,2.0,15,10,16,32,0.0
917730,0.154,239.17,2.0,14,9,0,54,0.0
1263641,0.1,240.08,13.9,5,12,6,5,20.0
1054775,0.312,243.11,2.4,18,12,4,59,2.0
153620,0.046,237.23,6.2,4,2,9,44,17.0
1057675,0.096,243.48,1.2,20,12,5,19,1.0
858413,0.33,235.27,2.0,8,3,20,17,3.0
1645629,0.098,243.61,5.8,2,1,12,33,19.0
565234,0.0,243.95,5.2,13,1,5,58,0.0
599786,0.07,242.33,1.2,2,6,5,50,0.0
380936,0.092,238.05,6.0,9,7,6,20,20.0
1149624,0.18,243.08,2.0,22,2,1,48,0.0
1672801,0.048,239.1,13.9,20,2,9,25,45.0
757619,0.102,237.53,9.4,25,5,20,23,18.0
575552,0.076,239.02,3.0,20,1,9,56,2.0
247546,0.0,236.46,5.8,6,6,15,10,18.0
276644,0.0,242.87,1.8,26,6,20,8,0.0
2071694,0.062,241.53,5.4,24,11,9,38,18.0
1223823,0.0,244.24,1.4,14,4,14,27,1.0
313219,0.108,236.5,1.0,22,7,5,43,0.0
1872905,0.188,241.42,1.6,7,9,8,29,1.0
1806665,0.218,238.13,3.2,24,5,8,29,1.0
450280,0.0,239.11,5.4,25,10,10,4,17.0
1187015,0.332,243.45,2.4,20,3,0,59,1.0
358733,0.064,239.87,9.2,22,8,20,17,18.0
860525,0.186,236.7,6.6,8,5,7,29,18.0
49262,0.0,237.14,13.9,19,1,22,26,45.0
464839,0.104,240.68,1.2,11,4,12,43,0.0
2019220,0.0,242.11,9.8,18,10,23,4,18.0
1505994,0.088,241.95,1.2,27,10,13,18,1.0
1369367,0.168,244.04,1.8,24,7,16,11,3.0
831918,0.23,240.03,1.8,16,7,10,42,0.0
210278,0.094,234.97,5.4,5,11,18,2,17.0
978157,0.054,243.98,1.2,26,10,0,1,0.0
1326844,0.072,242.09,0.8,25,6,3,28,0.0
1785944,0.206,243.46,1.8,5,9,23,8,2.0
4133,0.132,246.66,1.4,19,12,14,17,1.0
50925,0.244,242.55,6.0,21,1,2,9,19.0
1614409,0.0,245.03,6.0,1,10,20,13,2.0
218772,0.202,239.48,2.0,17,5,15,36,4.0
972780,0.108,241.72,2.2,22,10,6,24,2.0
1057072,0.0,245.9,3.6,19,12,19,16,0.0
